dates,cyclist_type,avg_ride_length,total_riders
6/11/2022,member,15.84166995,13826
6/12/2022,casual,32.55277808,13191
6/12/2022,member,14.58230925,11103
6/13/2022,casual,33.85866386,7556
6/13/2022,member,12.55273058,11083
6/14/2022,casual,33.51288206,10504
6/14/2022,member,14.5971223,13612
6/15/2022,casual,35.02727199,11200
6/15/2022,member,13.6339721,13665
6/16/2022,casual,26.8723839,11625
6/16/2022,member,13.06715842,14022
6/17/2022,casual,37.3978032,15836
6/17/2022,member,14.6504193,14894
6/18/2022,casual,33.67891221,20249
6/18/2022,member,16.15736519,14061
6/19/2022,casual,35.18615234,17445
6/19/2022,member,16.17979129,11854
6/20/2022,casual,34.19435457,13649
6/20/2022,member,13.91540568,13419
6/21/2022,casual,32.40415745,9853
6/21/2022,member,13.55274532,13488
6/22/2022,casual,30.34745724,11295
6/22/2022,member,13.79761979,15449
6/23/2022,casual,29.91997726,11900
6/23/2022,member,13.92415934,15252
6/24/2022,casual,27.31171658,15324
6/24/2022,member,13.75061419,14998
6/25/2022,casual,29.3343877,12310
6/25/2022,member,14.48877447,10080
6/26/2022,casual,40.31825368,19498
6/26/2022,member,16.33315035,13505
6/27/2022,casual,31.13540023,10610
6/27/2022,member,14.04306511,13476
6/28/2022,casual,32.43277585,10769
6/28/2022,member,13.00023728,14940
6/29/2022,casual,30.06123666,11695
6/29/2022,member,13.0876898,15187
6/30/2022,casual,33.6739617,12942
6/30/2022,member,13.2147341,14974
7/1/2022,casual,26.71395643,11378
7/1/2022,member,13.29880995,12468
7/2/2022,casual,36.44790021,18481
7/2/2022,member,15.9400717,12448
7/3/2022,casual,34.77263433,18831
7/3/2022,member,16.31184248,11723
7/4/2022,casual,37.26696923,13701
7/4/2022,member,15.7035139,8826
7/5/2022,casual,29.50615217,8739
7/5/2022,member,12.92129588,11891
7/6/2022,casual,27.60040684,9210
7/6/2022,member,12.82038439,13542
7/7/2022,casual,27.66547619,10965
7/7/2022,member,13.20348108,14812
7/8/2022,casual,23.23709831,10942
7/8/2022,member,12.91767427,12848
7/9/2022,casual,38.85247918,20992
7/9/2022,member,15.53006365,15161
7/10/2022,casual,36.68744863,16490
7/10/2022,member,16.02952516,12413
7/11/2022,casual,30.37866518,9237
7/11/2022,member,12.92607487,12827
7/12/2022,casual,30.26871207,11137
7/12/2022,member,13.03252023,15236
7/13/2022,casual,21.92777227,11809
7/13/2022,member,12.95399469,15828
7/14/2022,casual,23.80777918,12850
7/14/2022,member,13.35492545,15923
7/15/2022,casual,23.68910337,5095
7/15/2022,member,11.75813217,6888
7/16/2022,casual,30.27701501,18508
7/16/2022,member,15.10866381,14031
7/17/2022,casual,38.10210281,12093
7/17/2022,member,14.27849414,10860
7/18/2022,casual,29.32498319,10621
7/18/2022,member,12.91764658,14231
7/19/2022,casual,23.60076772,10850
7/19/2022,member,13.10607741,15384
7/20/2022,casual,25.22936015,11587
7/20/2022,member,12.90571788,15643
7/21/2022,casual,23.36240526,11519
7/21/2022,member,12.53426581,15062
7/22/2022,casual,27.53208297,13693
7/22/2022,member,12.79560034,14506
7/23/2022,casual,28.53018866,17831
7/23/2022,member,14.59833865,13295
7/24/2022,casual,31.09178392,14316
7/24/2022,member,14.7028584,11083
7/25/2022,casual,25.48320494,10412
7/25/2022,member,12.81955788,13966
7/26/2022,casual,22.6218328,10723
7/26/2022,member,12.67097762,15011
7/27/2022,casual,21.75354158,10244
7/27/2022,member,12.95305966,14597
7/28/2022,casual,22.88764452,12455
7/28/2022,member,12.96829556,15355
7/29/2022,casual,27.1431715,15397
7/29/2022,member,13.67317089,14928
7/30/2022,casual,29.63744213,19408
7/30/2022,member,15.32856016,13933
7/31/2022,casual,27.96117092,16535
7/31/2022,member,14.57903125,12708
8/1/2022,casual,26.06391038,10438
8/1/2022,member,12.81979832,13559
8/2/2022,casual,33.41643543,10827
8/2/2022,member,13.10508958,15033
8/3/2022,casual,29.25080039,8638
8/3/2022,member,12.39460447,13200
8/4/2022,casual,22.87176768,10886
8/4/2022,member,13.72281285,14496
8/5/2022,casual,34.29873458,14887
8/5/2022,member,13.821707,14426
8/6/2022,casual,34.0312537,18115
8/6/2022,member,14.68734333,12900
8/7/2022,casual,30.09080997,8466
8/7/2022,member,13.68648544,8200
8/8/2022,casual,24.72012317,5101
8/8/2022,member,11.36161942,8705
8/9/2022,casual,32.77715031,10586
8/9/2022,member,13.1557804,15494
8/10/2022,casual,30.24725156,11608
8/10/2022,member,13.2569458,15709
8/11/2022,casual,30.60880072,11385
8/11/2022,member,13.16534546,15091
8/12/2022,casual,27.76313304,13236
8/12/2022,member,13.73803914,13918
8/13/2022,casual,32.26260134,17253
8/13/2022,member,15.09896299,13360
8/14/2022,casual,37.99161962,12667
8/14/2022,member,15.32982342,10894
8/15/2022,casual,37.96088469,10222
8/15/2022,member,12.94370844,13797
8/16/2022,casual,32.04589559,10319
8/16/2022,member,13.48987624,14557
8/17/2022,casual,25.37615098,10517
8/17/2022,member,13.14075053,15369
8/18/2022,casual,23.67852941,11651
8/18/2022,member,12.89240397,15048
8/19/2022,casual,30.91352346,16312
8/19/2022,member,13.48393009,15436
8/20/2022,casual,29.80317195,13350
8/20/2022,member,13.56153754,10883
8/21/2022,casual,33.65940192,14789
8/21/2022,member,15.41575495,12545
8/22/2022,casual,27.16907908,10037
8/22/2022,member,12.97956854,14265
8/23/2022,casual,21.6375872,10472
8/23/2022,member,12.85974108,15636
8/24/2022,casual,23.29456531,11047
8/24/2022,member,12.9138059,16198
8/25/2022,casual,22.87563887,8422
8/25/2022,member,12.29314576,12871
8/26/2022,casual,27.0780493,12425
8/26/2022,member,13.20990737,14916
8/27/2022,casual,31.0414335,17466
8/27/2022,member,15.13865679,14742
8/28/2022,casual,32.06691406,12245
8/28/2022,member,13.78821482,11338
8/29/2022,casual,25.15305581,6566
8/29/2022,member,11.77998908,12276
8/30/2022,casual,19.92821044,9302
8/30/2022,member,12.73305067,15998
8/31/2022,casual,19.86091914,9683
8/31/2022,member,13.17092207,16139
9/1/2022,casual,21.14996986,10065
9/1/2022,member,12.63454825,15525
9/2/2022,casual,26.3196052,12709
9/2/2022,member,13.24628177,14614
9/3/2022,casual,32.05125767,18018
9/3/2022,member,14.86323262,12586
9/4/2022,casual,36.46797749,10220
9/4/2022,member,14.66601546,8527
9/5/2022,casual,32.77085594,11258
9/5/2022,member,14.64565773,9723
9/6/2022,casual,21.96929985,8626
9/6/2022,member,12.55266673,15029
9/7/2022,casual,21.48112859,9670
9/7/2022,member,13.18811135,16505
9/8/2022,casual,23.31459465,9839
9/8/2022,member,12.72813061,16470
9/9/2022,casual,34.7722926,12806
9/9/2022,member,13.21601122,15748
9/10/2022,casual,33.76595566,17073
9/10/2022,member,15.2569061,14834
9/11/2022,casual,37.74454173,4040
9/11/2022,member,11.5105637,5047
9/12/2022,casual,24.63948437,5893
9/12/2022,member,12.14128255,11682
9/13/2022,casual,20.59944185,8127
9/13/2022,member,12.62695844,14835
9/14/2022,casual,24.14491886,9116
9/14/2022,member,12.40633982,15691
9/15/2022,casual,23.04885062,10487
9/15/2022,member,12.81750045,15925
9/16/2022,casual,26.33989712,13490
9/16/2022,member,13.65305716,15432
9/17/2022,casual,46.00062166,16774
9/17/2022,member,15.07191802,13913
9/18/2022,casual,29.75092423,12961
9/18/2022,member,15.38910415,11982
9/19/2022,casual,33.97219099,7729
9/19/2022,member,12.61891625,13482
9/20/2022,casual,24.8590595,6825
9/20/2022,member,12.47521594,13486
9/21/2022,casual,26.98852711,8423
9/21/2022,member,12.40520207,15810
9/22/2022,casual,20.13307611,8110
9/22/2022,member,12.37752698,14551
9/23/2022,casual,24.0228676,8380
9/23/2022,member,11.86607807,12806
9/24/2022,casual,27.85364375,12207
9/24/2022,member,13.88146596,12685
9/25/2022,casual,38.4369356,9049
9/25/2022,member,13.5315491,10193
9/26/2022,casual,18.18968593,6173
9/26/2022,member,11.22695814,12531
9/27/2022,casual,16.59966384,6005
9/27/2022,member,11.20153198,13683
9/28/2022,casual,17.21764314,6296
9/28/2022,member,11.37863211,13501
9/29/2022,casual,16.84153099,7327
9/29/2022,member,11.46940926,14109
9/30/2022,casual,21.45456753,8994
9/30/2022,member,12.75065876,13731
10/1/2022,casual,35.68086128,12434
10/1/2022,member,13.96613157,12934
10/2/2022,casual,30.19914472,8558
10/2/2022,member,13.08070895,10137
10/3/2022,casual,22.28499208,6158
10/3/2022,member,11.03402042,12947
10/4/2022,casual,17.32491213,6569
10/4/2022,member,11.78498833,14559
10/5/2022,casual,20.23708101,7524
10/5/2022,member,11.88233941,14929
10/6/2022,casual,23.34589463,5814
10/6/2022,member,11.28645158,12014
10/7/2022,casual,34.01537276,5450
10/7/2022,member,11.96251208,9067
10/8/2022,casual,30.85759843,9484
10/8/2022,member,12.85928504,10495
10/9/2022,casual,42.83790824,13686
10/9/2022,member,14.70526208,11693
10/10/2022,casual,26.60422186,7954
10/10/2022,member,11.99157893,12776
10/11/2022,casual,36.49592995,3997
10/11/2022,member,11.31145106,9159
10/12/2022,casual,22.10648588,4507
10/12/2022,member,10.65906281,10859
10/13/2022,casual,22.12177794,6795
10/13/2022,member,11.26153954,12685
10/14/2022,casual,22.6062542,5969
10/14/2022,member,11.06513601,10782
10/15/2022,casual,35.07709365,7629
10/15/2022,member,12.70411428,9766
10/16/2022,casual,25.74434726,5564
10/16/2022,member,11.71252082,8077
10/17/2022,casual,18.22210922,2860
10/17/2022,member,10.54719371,8577
10/18/2022,casual,15.29401523,3083
10/18/2022,member,10.76885658,10075
10/19/2022,casual,20.54755622,3772
10/19/2022,member,10.7834971,10867
10/20/2022,casual,15.76713953,4931
10/20/2022,member,10.78831788,12013
10/21/2022,casual,23.07332454,8278
10/21/2022,member,12.1892695,13344
10/22/2022,casual,26.92504193,13605
10/22/2022,member,14.54574541,13653
10/23/2022,casual,29.75235202,10741
10/23/2022,member,14.36437792,12119
10/24/2022,casual,20.53483409,6251
10/24/2022,member,11.49763957,13467
10/25/2022,casual,29.05852054,2044
10/25/2022,member,10.19829271,5956
10/26/2022,casual,17.7334513,4790
10/26/2022,member,11.46504082,12232
10/27/2022,casual,15.81169673,5044
10/27/2022,member,10.48051222,12532
10/28/2022,casual,23.40848958,6280
10/28/2022,member,11.52604318,11827
10/29/2022,casual,23.08162973,9061
10/29/2022,member,12.91818779,11283
10/30/2022,casual,22.76427532,6148
10/30/2022,member,11.74196367,8352
10/31/2022,casual,18.96901404,4011
10/31/2022,member,11.79986973,10518
11/1/2022,casual,16.53849757,5499
11/1/2022,member,11.36721956,13828
11/2/2022,casual,16.72130848,6143
11/2/2022,member,11.43461166,14742
11/3/2022,casual,24.35972807,6959
11/3/2022,member,11.36519834,14907
11/4/2022,casual,21.05089963,5778
11/4/2022,member,11.77641794,11487
11/5/2022,casual,17.87394549,3913
11/5/2022,member,10.41131512,6525
11/6/2022,casual,37.61682043,6814
11/6/2022,member,12.75771448,9283
11/7/2022,casual,21.6712381,3857
11/7/2022,member,10.36517687,10440
11/8/2022,casual,16.69913051,3931
11/8/2022,member,10.79364831,11058
11/9/2022,casual,16.81066766,5040
11/9/2022,member,11.21627966,12629
11/10/2022,casual,22.71001323,6884
11/10/2022,member,11.93363241,14139
11/11/2022,casual,16.82909504,4208
11/11/2022,member,11.12421004,8981
11/12/2022,casual,18.95480884,2821
11/12/2022,member,11.61940274,5640
11/13/2022,casual,40.83127341,2897
11/13/2022,member,11.46318006,5187
11/14/2022,casual,14.85362582,2197
11/14/2022,member,11.16984454,7714
11/15/2022,casual,25.53408551,1196
11/15/2022,member,9.908811853,4925
11/16/2022,casual,13.53138855,1680
11/16/2022,member,10.66494773,6643
11/17/2022,casual,13.40225806,1904
11/17/2022,member,9.826416913,7003
11/18/2022,casual,15.34563957,1594
11/18/2022,member,10.07253913,5131
11/19/2022,casual,35.57275329,1265
11/19/2022,member,10.22901915,3114
11/20/2022,casual,21.07608165,1163
11/20/2022,member,11.71407079,3140
11/21/2022,casual,16.12141061,2027
11/21/2022,member,10.51252347,6477
11/22/2022,casual,18.15718921,2397
11/22/2022,member,10.70944572,7257
11/23/2022,casual,18.69616495,3364
11/23/2022,member,10.9287464,7144
11/24/2022,casual,37.24664546,2236
11/24/2022,member,16.1875159,3080
11/25/2022,casual,21.36044171,2956
11/25/2022,member,12.11208239,4723
11/26/2022,casual,25.67061654,3869
11/26/2022,member,12.2297768,5160
11/27/2022,casual,16.47253767,1601
11/27/2022,member,10.32764114,3587
11/28/2022,casual,15.13839306,2220
11/28/2022,member,10.28308106,7674
11/29/2022,casual,11.96681012,2782
11/29/2022,member,10.39391928,9040
11/30/2022,casual,11.92171034,1553
11/30/2022,member,9.398009422,6289
